condition	cond2	tradhyp	controltrans	liar	likemu_1	likejd_1	likepc	likepd_1	like	goodmu_1	goodjd_1	id	goodpc	goodpd_1	good	trustmu_1	trustjd_1	trustpc	trustpd_1	trust	honestmu_1	honestjd_1	honestpc	honestpd_1	honest	hypmu_1	hypjd_1	hyppc	hyppd_1	hyp	overall	age	gender	edu	income	generaltrust	previousexperience
tradhyp	1	1	0	0	3	6	24	0	8.25	6	18	156	6	7	9.25	5	0	20	0	6.25	1	0	17	0	4.5	100	100	100	96	99	7.0625	23	1	5	8	4	1
liar	2	0	0	1	87	77	74	26	66	81	71	157	78	81	77.75	78	99	83	78	84.5	34	29	33	64	40	76	76	82	71	76.25	67.0625	33	1	5	3	6	4
controltrans	3	0	1	0	54	43	35	48	45	49	49	158	48	49	48.75	52	49	48	49	49.5	50	42	48	49	47.25	32	47	49	49	44.25	47.625	33	2	5	5	4	2
controltrans	3	0	1	0	50	51	50	50	50.25	37	50	159	49	50	46.5	22	23	50	49	36	28	17	40	49	33.5	31	79	81	49	60	41.5625	29	2	4	8	3	2
liar	2	0	0	1	82	66	38	35	55.25	75	66	160	40	39	55	60	48	39	33	45	39	46	30	39	38.5	28	54	70	58	52.5	48.4375	29	1	5	8	2	1
tradhyp	1	1	0	0	48	48	49	17	40.5	48	49	161	50	49	49	42	48	49	49	47	40	47	49	50	46.5	87	82	65	90	81	45.75	48	2	4	5	6	1
controltrans	3	0	1	0	51	52	54	55	53	50	52	162	57	56	53.75	50	53	56	49	52	44	47	55	58	51	59	54	52	51	54	52.4375	36	2	5	8	6	2
liar	2	0	0	1	51	51	50	38	47.5	46	56	163	50	40	48	0	0	0	0	0	33	0	0	0	8.25	100	100	100	100	100	25.9375	42	1	4	5	1	1
liar	2	0	0	1	51	36	51	49	46.75	50	47	164	51	50	49.5	40	34	50	45	42.25	46	38	48	47	44.75	61	73	58	54	61.5	45.8125	35	2	5	5	5	2
tradhyp	1	1	0	0	38	25	29	28	30	37	30	165	33	31	32.75	30	23	21	25	24.75	27	28	30	31	29	71	83	83	80	79.25	29.125	52	1	4	7	3	1
liar	2	0	0	1	29	18	2	0	12.25	32	4	166	23	21	20	5	5	94	2	26.5	10	1	9	2	5.5	96	96	94	92	94.5	16.0625	36	2	6	9	5	1
tradhyp	1	1	0	0	29	10	41	48	32	20	37	167	35	37	32.25	24	11	37	35	26.75	23	10	32	24	22.25	80	63	79	82	76	28.3125	20	2	2	1	4	1
controltrans	3	0	1	0	100	100	27	0	56.75	100	100	168	50	0	62.5	88	100	50	50	72	73	50	50	50	55.75	0	0	50	50	25	61.75	26	1	5	5	6	1
tradhyp	1	1	0	0	44	34	39	46	40.75	46	43	169	36	46	42.75	45	45	38	47	43.75	40	40	39	43	40.5	100	100	100	100	100	41.9375	34	2	5	9	5	1
liar	2	0	0	1	13	50	50	50	40.75	50	50	170	50	50	50	1	50	78	50	44.75	0	76	50	50	44	95	5	20	50	42.5	44.875	57	1	6	10	6	1
tradhyp	1	1	0	0	0	0	0	0	0	0	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	100	99	99.75	0	39	2	2	7	1	1
tradhyp	1	1	0	0	50	40	51	50	47.75	50	50	172	49	51	50	51	19	50	50	42.5	50	10	50	50	40	68	50	67	81	66.5	45.0625	44	1	4	3	4	3
tradhyp	1	1	0	0	50	50	50	50	50	50	50	173	50	50	50	48	51	50	50	49.75	50	50	50	50	50	50	50	49	50	49.75	49.9375	24	2	4	10	2	1
tradhyp	1	1	0	0	0	6	21	0	6.75	8	26	174	20	0	13.5	0	7	13	0	5	0	6	12	0	4.5	95	100	100	100	98.75	7.4375	30	2	4	7	3	2
liar	2	0	0	1	100	100	4	5	52.25	5	100	175	2	100	51.75	0	0	0	4	1	0	0	4	0	1	100	100	99	99	99.5	26.5	29	2	4	5	7	1
liar	2	0	0	1	24	41	31	36	33	43	44	176	25	41	38.25	26	42	34	33	33.75	28	34	22	40	31	83	32	64	31	52.5	34	24	2	5	4	3	1
tradhyp	1	1	0	0	50	50	50	50	50	50	50	177	50	50	50	11	46	51	45	38.25	12	45	50	44	37.75	89	46	48	55	59.5	44	28	2	6	5	3	1
controltrans	3	0	1	0	53	52	0	0	26.25	9	5	178	0	39	13.25	6	40	25	29	25	7	5	10	13	8.75	61	12	31	73	44.25	18.3125	20	2	2	1	3	2
tradhyp	1	1	0	0	13	5	19	9	11.5	6	11	179	5	11	8.25	12	8	4	7	7.75	5	12	10	12	9.75	98	95	98	98	97.25	9.3125	47	2	5	5	2	2
liar	2	0	0	1	21	26	21	34	25.5	16	16	180	27	23	20.5	3	20	14	19	14	10	12	3	15	10	94	86	86	88	88.5	17.5	58	1	6	7	6	2
controltrans	3	0	1	0	56	51	50	43	50	50	50	181	49	50	49.75	51	51	50	46	49.5	50	50	50	50	50	44	37	44	42	41.75	49.8125	25	2	5	7	4	2
tradhyp	1	1	0	0	5	4	6	12	6.75	10	3	182	4	15	8	5	0	3	3	2.75	2	3	1	5	2.75	0	0	0	0	0	5.0625	21	2	4	4	4	3
liar	2	0	0	1	69	71	77	75	73	68	83	183	62	70	70.75	81	73	80	72	76.5	86	90	66	86	82	71	72	87	64	73.5	75.5625	46	1	5	4	6	4
controltrans	3	0	1	0	59	84	25	100	67	19	63	184	38	78	49.5	26	90	56	38	52.5	17	100	67	84	67	14	82	69	66	57.75	59	24	1	5	2	5	3
liar	2	0	0	1	50	35	26	50	40.25	50	50	185	22	50	43	17	0	0	22	9.75	0	0	0	20	5	100	100	100	100	100	24.5	25	1	4	4	2	1
liar	2	0	0	1	27	24	8	17	19	28	23	186	12	15	19.5	29	14	14	15	18	29	8	9	16	15.5	78	84	91	85	84.5	18	26	1	5	8	6	2
controltrans	3	0	1	0	34	38	44	40	39	18	43	187	42	42	36.25	21	29	46	27	30.75	10	31	36	29	26.5	73	85	83	97	84.5	33.125	32	2	2	3	5	1
liar	2	0	0	1	50	50	50	50	50	50	50	188	50	50	50	50	51	50	50	50.25	43	50	46	52	47.75	56	70	54	35	53.75	49.5	41	2	5	2	4	1
controltrans	3	0	1	0	27	22	22	31	25.5	24	29	189	28	33	28.5	22	31	25	33	27.75	30	33	30	33	31.5	73	66	76	65	70	28.3125	30	2	4	9	4	1
tradhyp	1	1	0	0	26	63	9	66	41	35	71	190	39	57	50.5	8	35	5	31	19.75	19	27	6	32	21	100	94	86	82	90.5	33.0625	72	2	6	6	6	2
tradhyp	1	1	0	0	34	65	52	37	47	70	50	191	41	50	52.75	59	33	45	35	43	60	20	46	54	45	58	93	79	88	79.5	46.9375	26	1	2	4	6	2
controltrans	3	0	1	0	50	46	47	43	46.5	51	38	192	46	43	44.5	50	45	39	41	43.75	44	46	42	49	45.25	14	42	26	0	20.5	45	25	2	5	8	6	1
liar	2	0	0	1	52	35	32	17	34	55	47	193	38	25	41.25	0	15	24	30	17.25	10	9	20	30	17.25	100	100	100	100	100	27.4375	25	1	4	3	4	2
liar	2	0	0	1	24	28	34	28	28.5	49	49	194	49	50	49.25	33	30	50	40	38.25	36	32	38	40	36.5	37	28	62	40	41.75	38.125	36	1	5	7	6	1
liar	2	0	0	1	49	49	50	50	49.5	49	48	195	44	47	47	48	50	49	41	47	49	44	48	48	47.25	54	54	55	62	56.25	47.6875	21	1	6	5	6	2
liar	2	0	0	1	41	44	37	75	49.25	44	45	196	43	89	55.25	15	42	37	88	45.5	17	42	27	97	45.75	97	96	81	34	77	48.9375	52	1	2	5	6	3
controltrans	3	0	1	0	59	36	34	56	46.25	31	36	197	39	65	42.75	25	38	50	62	43.75	32	17	34	60	35.75	59	0	75	73	51.75	42.125	25	2	5	6	4	3
controltrans	3	0	1	0	50	52	38	48	47	50	45	198	36	50	45.25	34	58	50	51	48.25	39	50	50	50	47.25	49	94	31	50	56	46.9375	24	2	4	6	7	1
tradhyp	1	1	0	0	13	42	40	43	34.5	18	49	199	50	47	41	0	6	32	0	9.5	0	0	19	0	4.75	100	94	100	100	98.5	22.4375	45	2	5	8	6	2
tradhyp	1	1	0	0	32	24	18	28	25.5	25	36	200	25	32	29.5	6	15	18	45	21	6	13	28	38	21.25	74	99	91	79	85.75	24.3125	29	1	5	6	5	2
liar	2	0	0	1	17	26	52	26	30.25	46	50	201	51	47	48.5	40	46	52	47	46.25	39	43	44	36	40.5	53	59	55	58	56.25	41.375	35	1	5	6	3	2
tradhyp	1	1	0	0	0	12	7	0	4.75	63	68	202	36	65	58	0	0	4	0	1	0	6	0	6	3	100	100	100	100	100	16.6875	49	2	3	4	6	1
liar	2	0	0	1	37	11	32	17	24.25	19	32	203	29	19	24.75	9	20	25	17	17.75	18	15	36	14	20.75	100	100	100	100	100	21.875	26	1	4	3	5	1
liar	2	0	0	1	48	50	50	42	47.5	50	48	204	50	50	49.5	27	26	26	29	27	29	23	28	22	25.5	90	85	74	93	85.5	37.375	49	2	4	9	6	1
tradhyp	1	1	0	0	0	19	2	48	17.25	0	16	205	0	45	15.25	5	20	0	49	18.5	0	15	0	41	14	100	75	100	43	79.5	16.25	25	1	5	5	4	1
controltrans	3	0	1	0	39	23	66	17	36.25	50	25	206	64	39	44.5	50	3	65	55	43.25	61	4	39	50	38.5	41	63	15	68	46.75	40.625	23	2	4	3	6	3
liar	2	0	0	1	50	49	39	51	47.25	51	24	207	47	52	43.5	25	22	29	51	31.75	50	9	44	52	38.75	52	99	100	51	75.5	40.3125	36	2	4	4	5	2
tradhyp	1	1	0	0	0	23	0	23	11.5	24	30	208	0	31	21.25	1	9	0	26	9	0	14	14	15	10.75	100	100	100	100	100	13.125	25	1	1	2	3	1
liar	2	0	0	1	22	13	59	51	36.25	27	28	209	27	50	33	18	9	31	36	23.5	16	23	24	37	25	95	95	86	83	89.75	29.4375	44	1	2	4	3	2
tradhyp	1	1	0	0	29	6	4	28	16.75	27	17	210	28	36	27	13	17	35	54	29.75	25	27	18	12	20.5	84	82	74	60	75	23.5	24	1	5	1	2	1
controltrans	3	0	1	0	42	48	49	50	47.25	50	50	211	50	49	49.75	34	50	50	50	46	34	50	50	50	46	30	26	0	18	18.5	47.25	42	2	5	8	6	1
tradhyp	1	1	0	0	7	3	8	82	25	13	4	212	8	82	26.75	9	3	2	83	24.25	13	2	10	81	26.5	94	92	85	11	70.5	25.625	21	1	4	1	4	1
liar	2	0	0	1	12	7	32	31	20.5	20	23	213	24	49	29	11	9	18	23	15.25	6	0	23	31	15	89	100	10	11	52.5	19.9375	39	2	4	9	5	1
controltrans	3	0	1	0	50	54	50	50	51	50	50	214	50	49	49.75	50	50	47	50	49.25	50	50	50	50	50	0	10	0	8	4.5	50	48	1	2	1	4	1
liar	2	0	0	1	0	1	8	0	2.25	0	1	215	3	6	2.5	0	0	1	1	0.5	0	1	3	0	1	100	99	97	97	98.25	1.5625	43	1	5	2	6	2
liar	2	0	0	1	11	8	16	17	13	9	9	216	20	4	10.5	8	8	14	7	9.25	6	7	10	10	8.25	84	90	84	83	85.25	10.25	44	2	5	7	6	3
controltrans	3	0	1	0	62	15	50	71	49.5	69	67	217	68	71	68.75	77	65	64	65	67.75	74	67	65	69	68.75	18	19	26	30	23.25	63.6875	30	1	5	3	5	1
tradhyp	1	1	0	0	50	50	50	50	50	50	50	218	50	50	50	49	50	50	50	49.75	50	50	50	50	50	50	50	50	50	50	49.9375	35	1	5	8	5	1
tradhyp	1	1	0	0	25	26	11	9	17.75	51	43	219	25	15	33.5	17	22	30	29	24.5	12	15	20	15	15.5	100	91	91	95	94.25	22.8125	23	1	2	3	3	2
controltrans	3	0	1	0	26	70	16	47	39.75	27	70	220	19	39	38.75	23	66	16	64	42.25	32	64	44	64	51	36	7	34	29	26.5	42.9375	25	1	5	7	2	3
controltrans	3	0	1	0	47	46	30	60	45.75	50	48	221	40	62	50	32	51	45	50	44.5	27	47	46	58	44.5	46	49	42	33	42.5	46.1875	34	2	5	9	5	3
liar	2	0	0	1	2	19	10	14	11.25	9	25	222	12	11	14.25	12	14	7	9	10.5	3	29	7	8	11.75	99	81	98	97	93.75	11.9375	59	2	5	1	5	2
tradhyp	1	1	0	0	13	5	0	0	4.5	19	26	223	20	0	16.25	0	15	5	0	5	27	4	6	0	9.25	98	97	100	100	98.75	8.75	28	1	5	6	5	3
liar	2	0	0	1	12	5	57	13	21.75	7	6	224	57	13	20.75	6	3	70	11	22.5	4	0	62	8	18.5	92	96	10	73	67.75	20.875	26	1	6	5	3	1
liar	2	0	0	1	44	25	36	41	36.5	38	31	225	38	40	36.75	28	18	29	31	26.5	20	25	33	41	29.75	82	73	64	69	72	32.375	24	2	5	8	2	1
liar	2	0	0	1	50	50	51	50	50.25	50	64	226	63	66	60.75	17	50	68	50	46.25	0	50	62	50	40.5	95	61	50	60	66.5	49.4375	38	2	5	9	4	1
liar	2	0	0	1	26	42	47	48	40.75	48	40	227	53	50	47.75	20	20	12	47	24.75	15	22	17	26	20	87	85	89	83	86	33.3125	53	2	2	5	5	2
tradhyp	1	1	0	0	13	18	6	43	20	24	11	228	2	25	15.5	21	6	2	24	13.25	6	2	2	14	6	98	97	97	86	94.5	13.6875	22	2	5	5	4	1
tradhyp	1	1	0	0	7	46	19	49	30.25	10	62	229	11	52	33.75	6	60	47	48	40.25	8	57	43	58	41.5	7	29	9	6	12.75	36.4375	59	2	5	10	5	1
controltrans	3	0	1	0	1	50	0	0	12.75	0	57	230	3	2	15.5	1	28	0	3	8	0	3	0	0	0.75	96	97	96	98	96.75	9.25	34	2	5	4	5	3
liar	2	0	0	1	56	62	14	66	49.5	64	68	231	0	78	52.5	75	62	0	79	54	57	60	2	77	49	85	4	100	33	55.5	51.25	33	2	6	6	1	1
controltrans	3	0	1	0	69	73	47	77	66.5	57	67	232	37	90	62.75	61	58	57	63	59.75	44	45	34	67	47.5	73	78	89	60	75	59.125	28	2	4	10	5	1
controltrans	3	0	1	0	50	50	44	50	48.5	50	50	233	25	50	43.75	36	30	50	50	41.5	25	29	80	53	46.75	0	0	0	0	0	45.125	27	1	3	2	2	2
tradhyp	1	1	0	0	0	12	1	3	4	0	2	234	6	5	3.25	0	1	2	2	1.25	0	0	1	4	1.25	100	89	93	96	94.5	2.4375	21	2	4	4	6	1
controltrans	3	0	1	0	60	81	46	49	59	48	57	235	47	46	49.5	52	47	46	47	48	42	50	45	45	45.5	43	66	55	47	52.75	50.5	31	1	5	7	3	2
liar	2	0	0	1	33	36	50	50	42.25	50	50	236	50	50	50	34	25	50	47	39	27	29	46	45	36.75	82	74	53	60	67.25	42	31	2	6	6	4	1
liar	2	0	0	1	51	44	54	52	50.25	67	48	237	58	59	58	35	26	54	48	40.75	19	57	54	55	46.25	33	69	46	52	50	48.8125	25	1	4	7	5	3
liar	2	0	0	1	19	40	16	40	28.75	24	43	238	18	36	30.25	22	22	35	24	25.75	14	34	29	28	26.25	83	67	81	67	74.5	27.75	26	2	2	3	6	2
tradhyp	1	1	0	0	58	55	63	72	62	75	41	239	76	69	65.25	71	43	58	27	49.75	35	66	64	85	62.5	52	59	58	29	49.5	59.875	34	1	2	1	4	1
controltrans	3	0	1	0	75	82	42	34	58.25	67	40	240	54	72	58.25	65	26	37	32	40	70	89	64	83	76.5	19	8	35	31	23.25	58.25	23	1	5	3	2	2
liar	2	0	0	1	27	35	39	45	36.5	43	37	241	45	43	42	32	31	35	36	33.5	39	35	40	32	36.5	75	76	64	74	72.25	37.125	32	1	5	3	5	1
controltrans	3	0	1	0	50	77	81	100	77	50	74	242	66	100	72.5	87	48	66	100	75.25	88	44	50	100	70.5	50	74	66	0	47.5	73.8125	33	2	5	10	1	2
controltrans	3	0	1	0	2	4	40	18	16	11	18	243	44	10	20.75	5	0	43	22	17.5	3	7	35	4	12.25	99	99	25	95	79.5	16.625	23	2	4	5	4	3
tradhyp	1	1	0	0	35	41	21	33	32.5	20	39	244	12	33	26	22	33	22	32	27.25	35	42	23	25	31.25	87	74	77	79	79.25	29.25	22	1	4	5	3	1
controltrans	3	0	1	0	68	37	35	74	53.5	68	80	245	55	70	68.25	35	40	80	64	54.75	59	76	70	83	72	75	64	36	31	51.5	62.125	27	1	6	8	5	4
liar	2	0	0	1	61	74	34	38	51.75	62	67	246	62	62	63.25	58	43	65	42	52	38	36	58	59	47.75	41	37	35	41	38.5	53.6875	33	1	5	9	5	3
liar	2	0	0	1	0	14	24	35	18.25	57	14	247	35	33	34.75	2	15	32	39	22	26	5	1	15	11.75	100	100	100	80	95	21.6875	20	1	4	1	4	2
controltrans	3	0	1	0	23	10	28	22	20.75	31	50	248	33	33	36.75	25	50	24	52	37.75	35	50	28	19	33	100	22	85	100	76.75	32.0625	29	1	2	4	3	2
controltrans	3	0	1	0	57	45	34	50	46.5	55	48	249	44	54	50.25	50	41	39	53	45.75	47	37	45	56	46.25	47	50	53	50	50	47.1875	21	2	4	3	5	1
controltrans	3	0	1	0	48	43	49	49	47.25	47	48	250	49	48	48	45	29	49	49	43	46	39	48	48	45.25	52	74	46	60	58	45.875	28	1	5	4	4	3
tradhyp	1	1	0	0	9	25	0	22	14	7	34	251	0	48	22.25	0	23	0	25	12	8	17	0	21	11.5	99	82	100	71	88	14.9375	41	2	5	5	1	1
liar	2	0	0	1	34	37	30	36	34.25	48	32	252	35	17	33	0	0	0	0	0	0	26	37	22	21.25	0	100	100	100	75	22.125	58	2	3	1	5	1
controltrans	3	0	1	0	79	88	24	36	56.75	69	88	253	50	75	70.5	100	99	47	88	83.5	100	80	85	82	86.75	0	3	14	8	6.25	74.375	29	1	2	3	6	1
tradhyp	1	1	0	0	61	65	75	50	62.75	92	78	254	69	50	72.25	86	65	50	50	62.75	93	78	68	50	72.25	0	0	0	0	0	67.5	28	2	4	5	5	2
controltrans	3	0	1	0	44	44	38	41	41.75	56	54	255	30	40	45	55	33	43	39	42.5	66	56	41	71	58.5	33	70	68	57	57	46.9375	29	1	5	7	4	1
controltrans	3	0	1	0	77	51	35	53	54	70	51	256	56	54	57.75	89	41	55	51	59	49	39	49	42	44.75	44	60	51	51	51.5	53.875	24	1	2	4	5	1
tradhyp	1	1	0	0	50	50	50	50	50	50	50	257	50	50	50	50	50	50	50	50	50	50	50	50	50	81	82	78	81	80.5	50	31	1	4	4	4	1
tradhyp	1	1	0	0	0	0	0	30	7.5	0	0	258	0	28	7	0	0	0	41	10.25	0	0	0	53	13.25	100	100	100	87	96.75	9.5	41	1	6	9	1	1
tradhyp	1	1	0	0	49	50	44	43	46.5	47	47	259	41	46	45.25	32	30	29	42	33.25	32	31	25	22	27.5	100	100	100	100	100	38.125	26	1	5	3	6	2
controltrans	3	0	1	0	84	72	84	38	69.5	87	69	260	82	39	69.25	86	30	86	40	60.5	85	31	83	39	59.5	100	82	100	88	92.5	64.6875	23	2	5	1	6	1
controltrans	3	0	1	0	50	50	43	50	48.25	36	50	261	43	50	44.75	50	50	50	50	50	7	44	50	50	37.75	50	52	50	49	50.25	45.1875	55	2	2	5	3	2
tradhyp	1	1	0	0	25	59	36	9	32.25	70	44	262	54	56	56	40	53	71	60	56	83	79	78	67	76.75	35	65	52	56	52	55.25	23	1	5	4	6	3
tradhyp	1	1	0	0	50	50	41	49	47.5	50	49	263	50	51	50	48	47	40	40	43.75	28	48	39	24	34.75	0	0	0	0	0	44	21	2	4	3	5	1
tradhyp	1	1	0	0	54	12	44	41	37.75	46	20	264	42	45	38.25	43	12	45	27	31.75	46	13	17	35	27.75	100	100	100	100	100	33.875	26	2	4	7	3	1
liar	2	0	0	1	47	37	47	46	44.25	42	43	265	41	46	43	44	33	44	48	42.25	48	36	41	45	42.5	35	26	18	36	28.75	43	23	1	5	6	4	4
liar	2	0	0	1	37	80	43	49	52.25	22	87	266	43	50	50.5	23	80	25	75	50.75	0	100	42	100	60.5	100	0	69	79	62	53.5	25	1	5	1	5	1
controltrans	3	0	1	0	38	47	22	50	39.25	41	50	267	33	50	43.5	39	50	38	47	43.5	35	45	41	48	42.25	42	25	56	64	46.75	42.125	33	2	4	8	5	1
tradhyp	1	1	0	0	63	26	59	58	51.5	57	30	268	58	59	51	58	31	40	65	48.5	32	33	62	72	49.75	58	31	40	42	42.75	50.1875	39	2	5	3	5	1
tradhyp	1	1	0	0	48	19	27	16	27.5	46	43	269	47	16	38	31	0	47	48	31.5	0	38	6	36	20	100	100	96	94	97.5	29.25	42	2	5	6	6	1
controltrans	3	0	1	0	100	100	100	100	100	84	75	270	80	76	78.75	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	94.6875	26	1	5	6	1	1
tradhyp	1	1	0	0	25	32	5	34	24	5	43	271	13	55	29	5	29	7	54	23.75	2	14	9	44	17.25	94	85	95	50	81	23.5	23	1	5	5	6	1
liar	2	0	0	1	71	50	50	76	61.75	50	50	272	50	76	56.5	50	29	50	72	50.25	35	27	30	60	38	90	74	76	50	72.5	51.625	40	2	5	6	6	1
tradhyp	1	1	0	0	58	50	36	30	43.5	58	44	273	30	37	42.25	35	43	50	31	39.75	54	68	73	39	58.5	69	81	68	81	74.75	46	30	2	4	3	6	2
liar	2	0	0	1	0	19	44	13	19	0	60	274	40	15	28.75	0	28	20	21	17.25	0	8	14	8	7.5	100	97	90	100	96.75	18.125	56	2	4	3	5	1
controltrans	3	0	1	0	51	60	37	32	45	51	56	275	40	50	49.25	51	60	50	57	54.5	42	55	51	61	52.25	17	16	27	19	19.75	50.25	54	1	6	5	5	1
controltrans	3	0	1	0	65	61	60	34	55	64	62	276	32	57	53.75	62	65	38	58	55.75	61	69	69	63	65.5	40	27	28	31	31.5	57.5	34	1	2	6	6	1
controltrans	3	0	1	0	63	25	39	63	47.5	60	31	277	32	60	45.75	19	30	29	31	27.25	25	12	32	100	42.25	58	86	31	0	43.75	40.6875	20	2	4	3	5	2
controltrans	3	0	1	0	14	12	25	56	26.75	21	12	278	22	57	28	18	9	35	58	30	1	11	37	66	28.75	65	88	67	81	75.25	28.375	51	1	5	8	3	2
tradhyp	1	1	0	0	31	33	39	42	36.25	32	38	279	37	36	35.75	32	39	38	42	37.75	38	26	36	42	35.5	71	79	67	56	68.25	36.3125	30	2	5	7	4	4
liar	2	0	0	1	50	50	50	49	49.75	0	0	280	16	50	16.5	0	0	0	19	4.75	0	0	0	6	1.5	100	100	100	50	87.5	18.125	28	1	4	1	4	1
controltrans	3	0	1	0	44	59	50	49	50.5	64	60	281	50	50	56	46	56	50	50	50.5	61	60	48	52	55.25	56	60	50	52	54.5	53.0625	30	2	3	7	5	4
liar	2	0	0	1	3	0	0	10	3.25	8	13	282	0	30	12.75	0	0	0	2	0.5	0	0	0	0	0	100	81	99	84	91	4.125	33	1	4	6	5	1
tradhyp	1	1	0	0	44	21	33	31	32.25	43	33	283	49	41	41.5	36	33	26	27	30.5	33	41	41	41	39	76	78	75	75	76	35.8125	23	2	5	9	7	2
liar	2	0	0	1	19	18	9	12	14.5	17	16	284	13	12	14.5	12	0	14	12	9.5	12	0	8	13	8.25	76	90	87	85	84.5	11.6875	34	1	6	10	2	1
controltrans	3	0	1	0	78	95	55	63	72.75	63	59	285	71	78	67.75	58	60	58	66	60.5	64	43	63	70	60	2	66	0	0	17	65.25	25	1	5	2	4	1
liar	2	0	0	1	12	60	50	13	33.75	72	62	286	63	24	55.25	72	59	50	32	53.25	63	62	64	30	54.75	21	35	26	90	43	49.25	31	1	6	6	4	3
tradhyp	1	1	0	0	6	0	4	7	4.25	13	9	287	3	33	14.5	6	0	2	13	5.25	3	0	2	20	6.25	100	97	99	90	96.5	7.5625	25	2	5	10	4	2
tradhyp	1	1	0	0	0	0	0	0	0	0	2	288	0	0	0.5	0	0	0	0	0	1	0	0	3	1	100	100	98	100	99.5	0.375	31	2	4	7	5	1
liar	2	0	0	1	0	29	24	50	25.75	35	36	289	9	52	33	0	42	6	46	23.5	0	0	29	50	19.75	100	99	80	50	82.25	25.5	48	2	6	4	1	1
liar	2	0	0	1	52	65	48	51	54	54	61	290	55	52	55.5	38	43	42	56	44.75	37	54	38	43	43	72	47	65	62	61.5	49.3125	29	1	4	3	5	2
controltrans	3	0	1	0	100	57	50	31	59.5	57	50	291	34	39	45	52	43	50	32	44.25	55	54	35	35	44.75	53	53	55	68	57.25	48.375	20	2	2	1	4	1
liar	2	0	0	1	42	6	0	10	14.5	26	21	292	0	7	13.5	0	0	0	6	1.5	22	0	0	7	7.25	90	100	100	100	97.5	9.1875	38	2	5	7	4	1
liar	2	0	0	1	27	44	50	51	43	50	50	293	50	49	49.75	27	31	41	41	35	11	42	39	44	34	63	69	63	67	65.5	40.4375	44	2	5	6	5	1
liar	2	0	0	1	42	16	14	53	31.25	44	29	294	21	53	36.75	10	14	29	42	23.75	3	16	26	32	19.25	91	90	95	26	75.5	27.75	31	2	4	4	5	1
tradhyp	1	1	0	0	70	35	34	36	43.75	74	21	295	20	76	47.75	90	36	21	62	52.25	60	25	21	28	33.5	9	78	77	10	43.5	44.3125	21	1	4	3	3	2
controltrans	3	0	1	0	23	33	26	37	29.75	22	27	296	39	31	29.75	30	26	25	40	30.25	30	29	37	40	34	84	63	88	72	76.75	30.9375	41	2	6	7	3	1
tradhyp	1	1	0	0	50	49	50	39	47	50	49	297	50	50	49.75	50	41	50	50	47.75	50	37	37	49	43.25	100	100	100	100	100	46.9375	52	1	6	10	5	1
tradhyp	1	1	0	0	0	2	100	0	25.5	0	0	298	100	0	25	0	0	100	0	25	0	0	100	0	25	100	100	0	100	75	25.125	53	1	2	6	4	1
tradhyp	1	1	0	0	7	26	22	34	22.25	28	37	299	39	50	38.5	10	33	33	34	27.5	9	37	26	31	25.75	99	80	98	88	91.25	28.5	23	1	5	5	6	1
tradhyp	1	1	0	0	35	33	22	27	29.25	25	19	300	29	24	24.25	13	2	5	6	6.5	13	9	5	0	6.75	100	100	100	100	100	16.6875	51	2	4	9	1	1
liar	2	0	0	1	60	71	59	60	62.5	63	39	301	65	61	57	41	29	37	33	35	36	53	47	39	43.75	65	83	64	82	73.5	49.5625	57	2	6	5	5	1
liar	2	0	0	1	44	39	33	35	37.75	46	45	302	45	45	45.25	31	35	42	34	35.5	33	39	31	43	36.5	70	80	75	63	72	38.75	30	1	4	4	5	2
tradhyp	1	1	0	0	26	23	26	69	36	52	33	303	40	64	47.25	15	7	31	40	23.25	27	40	26	100	48.25	100	100	100	65	91.25	38.6875	18	2	2	1	1	
controltrans	3	0	1	0	20	18	8	50	24	54	55	304	32	54	48.75	21	10	21	44	24	19	19	16	44	24.5	77	86	9	64	59	30.3125	66	1	4	2	4	3
controltrans	3	0	1	0	27	34	21	27	27.25	9	26	305	25	33	23.25	14	27	24	31	24	12	21	10	29	18	65	50	56	73	61	23.125	20	2	4	9	4	2
tradhyp	1	1	0	0	29	26	58	29	35.5	67	16	306	65	41	47.25	32	4	77	13	31.5	31	81	64	2	44.5	99	81	27	69	69	39.6875	30	1	4	3	2	1
tradhyp	1	1	0	0	20	35	64	30	37.25	60	66	307	69	29	56	13	34	33	60	35	100	68	64	68	75	55	66	23	67	52.75	50.8125	19	1	2	1	4	1
tradhyp	1	1	0	0	38	31	28	16	28.25	44	30	308	29	29	33	27	31	28	30	29	44	33	35	28	35	74	86	88	94	85.5	31.3125	35	2	5	8	3	1
controltrans	3	0	1	0	47	48	52	51	49.5	50	56	309	58	50	53.5	50	63	53	40	51.5	54	54	55	58	55.25	58	52	44	50	51	52.4375	26	2	4	1	5	2
controltrans	3	0	1	0	28	44	51	30	38.25	28	45	310	50	32	38.75	27	44	50	34	38.75	27	45	51	33	39	75	46	50	78	62.25	38.6875	44	1	6	10	4	1
tradhyp	1	1	0	0	25	40	44	24	33.25	34	35	311	39	28	34	24	38	40	13	28.75	22	22	39	16	24.75	30	73	41	82	56.5	30.1875	39	2	6	10	6	2
